Barcode 	 Reads
A00C00B50D62N501	1
A00C00B50D65N502	1
A00C00B50D91N502	1
A00C00B50D93P999	1
A00C00B51D00N502	2
A00C00B51D14P999	1
A00C00B51D16N502	1
A00C00B51D24N501	1
A00C00B51D28N501	1
A00C00B51D38P999	1
A00C00B51D54N502	1
A00C00B51D56N502	1
A00C00B51D59N502	1
A00C00B51D68N501	1
A00C00B51D95N501	1
A00C00B52D11N501	1
A00C00B52D38N502	1
A00C00B52D39N502	1
A00C00B52D78N501	1
A00C00B52D84N501	1
A00C00B52D84P999	1
A00C00B53D00N502	1
A00C00B53D04N502	1
A00C00B53D62N502	1
A00C00B53D70N502	1
A00C00B54D06N501	1
A00C00B54D43N501	1
A00C00B55D16N501	1
A00C00B55D35N501	1
A00C00B55D50N502	1
A00C00B55D54N501	2
A00C00B55D56P999	1
A00C00B55D57N501	1
A00C00B55D77P999	1
A00C00B55D94N501	1
A00C00B56D28N502	1
A00C00B56D94N501	1
A00C00B57D00N501	1
A00C00B57D00P00	1
A00C00B57D28N502	1
A00C00B57D29N502	1
A00C00B57D45N502	1
A00C00B57D58N501	1
A00C00B57D78N501	1
A00C00B57D92N501	1
A00C00B57D93N502	1
A00C00B58D01N502	1
A00C00B58D08N502	1
A00C00B58D16N502	1
A00C00B58D30N501	1
A00C00B58D38N502	1
A00C00B58D52N502	1
A00C00B58D53N502	1
A00C00B58D85N501	1
A00C00B59D04N502	1
A00C00B59D50N501	1
A00C00B59D77N501	1
A00C00B60D66N502	1
A00C00B61D29N502	1
A00C00B61D31N501	1
A00C00B61D54N501	2
A00C00B61D56N502	1
A00C00B61D57N502	1
A00C00B61D64N501	1
A00C00B61D71N502	1
A00C00B61D94N501	1
A00C00B62D32P999	1
A00C00B62D57N501	1
A00C00B62D57N502	1
A00C00B62D73N501	1
A00C00B62D78N501	1
A00C00B62D89N502	1
A00C00B63D24N502	1
A00C00B63D29N501	1
A00C00B63D42N502	1
A00C00B63D53N501	1
A00C00B63D53N502	1
A00C00B63D73N502	1
A00C00B63D77N502	1
A00C00B64D13N501	1
A00C00B64D38N501	1
A00C00B64D45N502	1
A00C00B64D63N502	1
A00C00B64D75N501	1
A00C00B64D82P999	1
A00C00B64D94N502	1
A00C00B65D28N502	1
A00C00B65D49N501	1
A00C00B65D56N502	1
A00C00B65D78N502	1
A00C00B65D86N501	1
A00C00B66D31N501	1
A00C00B66D54N502	1
A00C00B66D63P00	1
A00C00B66D96N501	1
A00C00B67D07N502	1
A00C00B67D96P999	1
A00C00B68D74N501	2
A00C00B69D38N502	1
A00C00B69D74N502	1
A00C00B70D27N501	1
A00C00B70D46N502	1
A00C00B70D65N501	1
A00C00B71D30N501	1
A00C00B71D43N502	1
A00C00B71D52N502	1
A00C00B71D69N502	1
A00C00B71D79N502	1
A00C00B71D95N502	1
A00C00B72D00N502	1
A00C00B72D13P999	1
A00C00B72D62P999	1
A00C00B72D86N501	1
A00C00B73D02N502	1
A00C00B73D08N502	1
A00C00B73D11N502	1
A00C00B73D22N502	1
A00C00B73D38N501	2
A00C00B73D90N501	1
A00C00B74D13N502	1
A00C00B74D14N502	1
A00C00B74D24N502	1
A00C00B74D25N501	1
A00C00B75D58N502	1
A00C00B75D85N502	1
A00C00B76D02P999	1
A00C00B76D13N502	1
A00C00B76D63N501	1
A00C00B76D68N501	1
A00C00B77D55N502	1
A00C00B77D84P00	1
A00C00B78D14N502	1
A00C00B78D16N502	1
A00C00B78D19N502	1
A00C00B78D72N502	1
A00C00B78D76N501	1
A00C00B79D09N502	1
A00C00B79D17N501	1
A00C00B79D33P00	1
A00C00B79D84N501	1
A00C00B79D93N502	1
A00C00B80D14N501	1
A00C00B80D32N501	1
A00C00B80D57N501	2
A00C00B81D12N502	1
A00C00B81D14N502	1
A00C00B81D16N502	2
A00C00B81D54N502	1
A00C00B82D16N502	1
A00C00B82D22N501	1
A00C00B82D31N502	1
A00C00B82D44N502	1
A00C00B82D50N501	1
A00C00B82D58N502	1
A00C00B82D64N502	1
A00C00B82D75N501	1
A00C00B82D81N501	1
A00C00B83D00N502	1
A00C00B83D27N502	1
A00C00B83D39P999	1
A00C00B83D51N502	1
A00C00B83D51P999	1
A00C00B83D71N501	1
A00C00B83D74N501	1
A00C00B83D89N501	1
A00C00B84D04P999	1
A00C00B84D19N502	1
A00C00B84D23N501	1
A00C00B84D42N501	1
A00C00B84D55N501	1
A00C00B84D69N502	1
A00C00B85D02N501	1
A00C00B85D44N501	1
A00C00B85D79N501	1
A00C00B86D00N501	1
A00C00B86D01N502	1
A00C00B86D70N502	1
A00C00B86D76P999	1
A00C00B87D24N501	1
A00C00B87D32N502	1
A00C00B88D00N501	1
A00C00B88D07N502	1
A00C00B88D63N501	1
A00C00B88D93N501	1
A00C00B89D58P999	1
A00C00B89D71N502	1
A00C00B90D05N502	1
A00C00B90D09N501	1
A00C00B90D23N501	1
A00C00B90D26N501	1
A00C00B90D28N501	1
A00C00B90D51N502	1
A00C00B90D52N501	1
A00C00B90D54N502	1
A00C00B90D58N501	1
A00C00B90D89N502	1
A00C00B91D16N502	1
A00C00B91D31N502	1
A00C00B91D39N502	1
A00C00B91D45N501	1
A00C00B91D57P999	1
A00C00B91D66N501	1
A00C00B91D67N501	1
A00C00B91D79N501	1
A00C00B91D92N502	1
A00C00B92D03P999	1
A00C00B92D17N502	1
A00C00B92D36N501	1
A00C00B92D67P999	1
A00C00B92D82N501	1
A00C00B92D83N501	1
A00C00B93D06N502	1
A00C00B93D08N501	1
A00C00B93D13N502	1
A00C00B93D22N501	1
A00C00B93D23P999	1
A00C00B93D45N501	1
A00C00B93D52N502	1
A00C00B93D54P999	1
A00C00B93D75N502	1
A00C00B93D91N502	1
A00C00B94D16N502	1
A00C00B94D42N502	1
A00C00B94D44N501	1
A00C00B94D64N502	1
A00C00B95D01N502	1
A00C00B95D06N501	1
A00C00B95D13N502	1
A00C00B95D15N501	1
A00C00B95D34N501	1
A00C00B95D35N501	1
A00C00B95D48N501	1
A00C00B95D82N502	1
A00C00B96D00N502	1
A00C00B96D03N502	1
A00C00B96D05N502	1
A00C00B96D17N502	1
A00C00B96D50N501	1
A00C00B96D50N502	1
A00C00B96D52N501	1
A00C00B96D59N501	1
A00C00B96D63N501	1
A00C00B96D63N502	1
A00C00B96D65N501	1
A00C00B96D67N501	1
A00C00B96D81N502	1
A00C00B96D87N502	1
A00C01B00D00N502	1
A00C01B00D91P00	1
A00C03B76D71N502	1
A00C05B00D09N502	1
A00C05B47D74N501	1
A00C05B63D68P00	1
A00C05B64D54N502	1
A00C05B87D75N501	1
A00C07B00D00N502	1
A00C07B34D62P999	1
A00C08B02D83N501	1
A00C09B00D00P00	1
A00C09B13D77N501	1
A00C10B13D74P999	1
A00C10B25D81N502	1
A00C10B29D00N502	1
A00C10B51D08N501	1
A00C10B85D65N502	1
A00C11B00D00N502	1
A00C11B28D66N502	1
A00C11B56D44N502	1
A00C11B88D29N501	1
A00C12B00D07P00	1
A00C12B00D54N502	1
A00C12B02D09N501	1
A00C12B18D73N502	1
A00C12B24D78N501	1
A00C12B46D05N502	1
A00C12B47D53N502	1
A00C13B19D00N501	1
A00C13B29D59N502	1
A00C13B50D00N501	1
A00C13B63D81N502	1
A00C14B00D00N501	1
A00C14B00D00N502	1
A00C14B00D06P00	1
A00C14B00D24N501	1
A00C14B00D25N502	1
A00C14B00D27N502	1
A00C14B15D00N502	1
A00C14B66D72N502	1
A00C14B72D78N501	1
A00C16B96D00N502	1
A00C17B00D00N502	2
A00C17B09D54N502	1
A00C17B37D93N502	1
A00C17B48D34N501	1
A00C18B00D00N502	1
A00C18B70D51N501	1
A00C19B00D00N502	2
A00C19B00D06N501	1
A00C19B00D17N501	1
A00C19B27D10N502	1
A00C19B50D25N502	1
A00C19B66D35N501	1
A00C20B00D00N501	1
A00C21B00D00N502	2
A00C21B00D62N501	1
A00C21B00D66N502	1
A00C21B69D95N502	1
A00C21B78D00N502	1
A00C22B00D00N501	1
A00C22B00D60N502	1
A00C22B00D63N501	1
A00C22B00D75N501	1
A00C22B18D93N502	1
A00C22B76D65N502	1
A00C22B92D00N502	1
A00C23B00D00N502	2
A00C24B00D00N502	1
A00C25B00D11N502	1
A00C25B05D06N501	1
A00C25B35D04N502	1
A00C26B00D00N501	3
A00C26B00D00N502	3
A00C26B00D07N502	1
A00C26B00D08N502	1
A00C26B00D87N501	1
A00C26B04D90N502	1
A00C26B04D91N501	1
A00C26B15D37N502	1
A00C26B42D63N502	1
A00C26B43D83N502	1
A00C26B48D56N502	1
A00C26B58D66N502	1
A00C26B70D09N501	1
A00C26B78D83N501	1
A00C26B81D84N502	1
A00C26B86D59N501	1
A00C26B91D00N501	1
A00C26B92D35N502	1
A00C26B92D76N502	1
A00C27B00D00N502	1
A00C27B24D73N502	1
A00C27B49D47N502	1
A00C28B26D88N501	1
A00C28B64D07N502	1
A00C28B85D00N502	1
A00C29B00D00N502	1
A00C29B00D43N501	1
A00C29B73D81N502	1
A00C30B00D00N502	2
A00C30B17D58N502	1
A00C30B30D00N502	1
A00C30B37D00N502	1
A00C30B42D01N502	1
A00C31B00D00N501	1
A00C31B00D00N502	1
A00C31B05D49N502	1
A00C31B28D00N502	1
A00C31B51D59N502	1
A00C31B56D55N502	1
A00C32B72D91N501	1
A00C32B95D04N502	1
A00C33B00D00N501	2
A00C33B00D00N502	3
A00C33B00D54N502	1
A00C33B02D85N502	1
A00C33B18D64N502	1
A00C33B44D00N501	1
A00C33B48D29N501	1
A00C33B59D00N502	1
A00C33B96D73N502	1
A00C34B00D00N501	1
A00C34B00D00N502	2
A00C34B00D41N502	1
A00C34B04D00P00	1
A00C34B34D37N501	1
A00C34B45D25N502	1
A00C34B50D31N501	1
A00C34B63D75N501	1
A00C34B64D00N501	1
A00C34B70D70N502	1
A00C34B80D52N502	1
A00C34B81D68N501	1
A00C35B40D82P00	1
A00C35B64D36N501	1
A00C35B76D70N502	1
A00C35B90D21N502	1
A00C36B00D00N502	1
A00C36B01D00N502	1
A00C36B15D62N502	1
A00C36B26D35N502	1
A00C36B85D92N501	1
A00C37B06D62N501	1
A00C37B22D68N502	1
A00C37B54D90N501	1
A00C37B57D60N502	1
A00C37B76D01N502	1
A00C38B00D00N502	2
A00C38B00D21N502	1
A00C38B00D87N502	1
A00C40B50D00N502	1
A00C40B76D00N502	1
A00C41B00D00N502	1
A00C41B00D29P00	1
A00C41B33D82N501	1
A00C41B73D07N502	1
A00C41B86D51N502	1
A00C42B00D00N501	1
A00C42B13D24N501	1
A00C42B60D00N502	1
A00C43B00D00N502	1
A00C44B75D00N502	1
A00C44B88D20N502	1
A00C45B00D00N502	1
A00C45B00D00P00	1
A00C45B72D91N502	1
A00C45B92D57N501	1
A00C46B00D00N502	1
A00C46B20D52N502	1
A00C46B33D19N502	1
A00C46B58D74N501	1
A00C46B96D87N501	1
A00C48B30D45N502	1
A00C49B00D00N502	1
A00C49B09D54N502	1
A00C49B89D13N501	1
A00C50B66D43N502	1
A00C50B88D08N502	1
A00C51B33D10N502	1
A00C51B57D00N501	1
A00C51B57D77N501	1
A00C51B64D86N502	1
A00C52B00D00N502	1
A00C52B48D24N501	1
A00C53B00D62P00	1
A00C53B70D16N501	1
A00C53B89D66N501	1
A00C54B00D00N501	1
A00C54B93D00N501	1
A00C55B16D01N502	1
A00C55B58D31N502	1
A00C56B51D72N502	1
A00C56B70D00N501	1
A00C57B00D85N502	1
A00C57B00D91N502	1
A00C57B13D00N502	1
A00C57B33D00P00	1
A00C57B36D05N502	1
A00C57B72D16N502	1
A00C58B00D00N502	1
A00C58B00D53N501	1
A00C58B55D43N502	1
A00C58B92D14N502	1
A00C59B00D26N502	1
A00C59B76D00N502	1
A00C61B00D00N502	1
A00C61B00D58N502	1
A00C61B10D73N501	1
A00C62B00D50N501	1
A00C62B34D67N502	1
A00C62B39D32N502	1
A00C62B88D74N502	1
A00C62B90D25N502	1
A00C63B61D66N501	1
A00C64B00D00N501	1
A00C64B00D00N502	1
A00C65B00D58N501	1
A00C65B10D64N502	1
A00C66B00D00N502	1
A00C66B00D62N501	1
A00C66B12D77N501	1
A00C66B28D78N502	1
A00C66B50D82N501	1
A00C66B52D00N501	1
A00C66B60D71N501	1
A00C67B49D46N502	1
A00C67B50D00N502	1
A00C67B72D00N502	1
A00C68B00D00N502	1
A00C68B26D00N502	1
A00C68B92D83N502	1
A00C68B96D00N501	1
A00C69B00D00N502	1
A00C69B81D00N502	1
A00C69B83D02N502	1
A00C70B00D00N501	1
A00C70B00D00N502	2
A00C70B83D44N502	1
A00C71B00D06N502	1
A00C71B91D25N501	1
A00C72B00D00N501	1
A00C72B47D00N501	1
A00C73B00D07N502	1
A00C73B09D82N501	1
A00C73B25D85N502	1
A00C73B26D93N501	1
A00C73B50D34N502	1
A00C74B00D78N502	1
A00C75B00D00N501	1
A00C75B30D69N502	1
A00C76B04D05N501	1
A00C76B46D82N501	1
A00C76B96D50N502	1
A00C77B00D00N502	1
A00C78B00D38N501	1
A00C78B08D80N502	1
A00C78B72D29N502	1
A00C79B78D14N502	1
A00C80B00D00N502	4
A00C80B31D00N502	1
A00C80B34D00N501	1
A00C80B49D00N501	1
A00C80B64D86N501	1
A00C80B65D76N501	1
A00C80B72D21N501	1
A00C81B00D00N502	2
A00C81B63D61N501	1
A00C83B09D02N502	1
A00C84B00D00N502	2
A00C84B60D91N501	1
A00C85B00D68N501	1
A00C85B04D61N502	1
A00C85B71D11N502	1
A00C86B04D65N502	1
A00C86B50D16N501	1
A00C86B51D76N502	1
A00C86B57D00N502	1
A00C88B67D03N501	1
A00C88B86D00N502	1
A00C89B48D07N501	1
A00C89B56D42N502	1
A00C90B28D26N502	1
A00C91B07D75N502	1
A00C91B18D39N502	1
A00C91B46D00P00	1
A00C91B48D70N502	1
A00C91B51D76N502	1
A00C92B00D00N502	1
A00C92B00D68N501	1
A00C92B08D38N501	1
A00C92B17D94N502	1
A00C92B37D00N502	1
A00C92B47D33N501	1
A00C93B00D00N501	1
A00C93B00D00N502	1
A00C93B81D00N501	1
A00C94B00D00N502	2
A00C95B00D00N502	3
A00C95B00D24N501	1
A00C95B15D00P00	1
A00C95B20D69N502	1
A00C95B32D59N502	1
A00C95B65D14N502	1
A00C96B00D00N502	1
A01C00B01D08N502	1
A01C00B75D72N501	1
A01C10B00D29N502	1
A01C27B66D00P00	1
A01C31B00D95N502	1
A01C34B00D51N502	1
A01C42B81D00N502	1
A01C66B00D07N501	1
A01C74B00D00N501	1
A02C00B00D00N501	1
A02C00B09D41N502	1
A02C00B49D00N502	1
A02C17B00D00N502	1
A02C43B00D00N502	1
A02C54B00D00N502	1
A02C58B60D00N502	1
A02C65B00D00N502	1
A02C78B00D00N501	1
A02C81B00D10N502	1
A03C00B55D00N502	1
A03C00B64D78N501	1
A03C00B77D24N502	1
A03C14B00D45N502	1
A03C27B00D70N501	1
A03C28B00D51N502	1
A03C37B00D72N501	1
A03C48B00D77N501	1
A03C57B00D27N502	1
A03C61B00D48N501	1
A03C76B00D64N502	1
A03C82B00D00N502	1
A03C93B00D44N502	1
A04C00B00D00N502	1
A04C00B10D00N502	1
A04C00B30D37N502	1
A04C00B34D67N502	1
A04C00B62D29N502	1
A04C01B00D00N502	1
A04C03B00D07N502	1
A04C23B00D04N502	1
A04C28B00D35N502	1
A04C60B00D04N501	1
A05C00B33D31N502	1
A05C00B38D32N501	1
A05C29B00D82N501	1
A05C38B00D00N501	1
A05C41B42D00N501	1
A05C47B00D09N501	1
A05C52B00D01N502	1
A05C82B00D33N501	1
A05C89B00D00N502	1
A06C00B00D00N502	2
A06C00B24D84N502	1
A06C00B87D09N501	1
A06C00B92D76N502	1
A06C15B00D29N502	1
A06C16B00D46N502	1
A06C20B00D22N502	1
A06C24B00D00N502	1
A06C26B00D89N502	1
A06C34B00D23N501	1
A06C37B00D82N502	1
A06C38B76D00N502	1
A06C79B03D00N501	1
A07C00B00D00N502	2
A07C00B00D82N501	1
A07C00B23D87N502	1
A07C00B29D80N501	1
A07C00B39D09P00	1
A07C18B00D41N501	1
A07C26B85D00N501	1
A07C28B00D10N502	1
A07C31B00D19N501	1
A07C53B07D00N501	1
A07C74B00D00N502	1
A08C00B00D00N502	2
A08C00B28D70N502	1
A08C00B33D00N501	1
A08C00B33D23N501	1
A08C02B00D00N502	1
A08C13B00D05N502	1
A08C18B13D00N502	1
A08C26B00D33N502	1
A08C36B00D00N502	1
A08C41B00D55N501	1
A08C60B00D00N502	1
A09C00B00D24N502	1
A09C00B13D57N502	1
A09C00B26D88N502	1
A09C00B26D94N502	1
A09C00B31D00N502	1
A09C00B44D56N502	1
A09C00B47D88N502	1
A09C00B66D41N502	1
A09C00B91D24P00	1
A09C00B95D00N501	1
A09C05B00D00N502	1
A09C10B00D00N502	1
A09C13B00D85N501	1
A09C14B00D10N502	1
A09C26B19D00N502	1
A09C28B00D00N502	1
A09C31B29D00N502	1
A09C40B00D74N501	1
A09C52B00D00N502	1
A09C61B00D87N502	1
A09C78B00D00N501	1
A09C86B00D17N501	1
A09C92B00D00N501	1
A09C94B00D90N502	1
A10C00B00D00N501	2
A10C00B00D00P00	1
A10C00B00D73N502	1
A10C00B07D85N502	1
A10C00B11D00N501	1
A10C00B20D85N502	1
A10C00B64D62N501	1
A10C12B16D00P00	1
A10C22B00D36N502	1
A10C44B00D28N502	1
A10C55B31D00N501	1
A10C62B00D00N502	1
A10C92B00D25N502	1
A11C00B00D00N501	1
A11C00B00D00N502	1
A11C00B39D08N502	1
A11C00B52D60N502	1
A11C00B61D50N502	1
A11C03B00D00N501	1
A11C16B00D53N502	1
A11C18B17D00N502	1
A11C60B00D00N502	1
A11C78B00D00N501	1
A11C81B00D00N501	1
A11C89B00D18N502	1
A12C00B00D00N502	1
A12C00B04D00N501	1
A12C00B92D29P00	1
A12C03B00D29N502	1
A12C34B00D36N502	1
A12C48B00D00N501	1
A12C82B00D91N502	1
A12C83B00D94N502	1
A13C00B33D34N501	1
A13C00B56D84N502	1
A13C12B59D00N502	1
A13C21B10D00N502	1
A13C27B00D75N501	1
A13C62B00D84N501	1
A13C68B00D00N502	1
A13C80B28D00N501	1
A13C80B62D00N501	1
A14C00B00D00N502	2
A14C00B10D56N502	1
A14C00B16D53N502	1
A14C00B42D10N501	1
A14C13B75D00N502	1
