Barcode 	 Correct reads 	 Corrected reads
A02C37B31D41N502	1	0
A02C37B60D22N502	1	0
A02C38B31D07N502	1	0
A02C38B71D50N502	1	0
A02C38B82D75N502	1	0
A02C38B87D85N502	1	0
A02C39B06D57N502	1	0
A02C39B17D19N502	1	0
A02C39B87D93N502	1	0
A02C40B30D73N502	1	0
A02C41B08D82N502	1	0
A02C41B18D88N502	1	0
A02C41B29D14N501	1	0
A02C41B29D96N501	1	0
A02C42B38D32N501	0	1
A02C42B66D46N501	1	0
A02C43B47D76N501	1	0
A02C44B40D95N501	1	0
A02C44B84D42N502	1	0
A02C45B05D21N501	1	0
A02C45B16D11N502	1	0
A02C45B46D73N501	1	0
A02C45B50D96N502	1	0
A02C45B83D92N501	1	0
A02C45B84D43N502	1	0
A02C47B57D74N501	1	0
A02C47B58D55N502	1	0
A02C47B61D69N502	1	0
A02C47B76D67N502	1	0
A02C48B18D28N502	1	0
A02C48B38D13N502	0	1
A02C48B55D06N502	0	1
A02C49B09D84N501	1	0
A02C49B63D15N502	1	0
A02C49B84D61N502	1	0
A02C50B26D64N501	1	0
A02C50B41D43N501	1	0
A02C50B72D82N502	1	0
A02C51B32D59N501	1	0
A02C51B42D19N502	1	0
A02C51B42D62N502	1	0
A02C51B75D29N502	1	0
A02C52B15D01N501	1	0
A02C52B50D20N501	1	0
A02C52B82D87N501	1	0
A02C53B11D36N502	1	0
A02C53B23D78N501	1	0
A02C53B38D04N501	2	0
A02C53B87D72N501	1	0
A02C54B05D23N501	1	0
A02C54B49D76N501	1	0
A02C55B06D20N502	1	0
A02C55B55D58N502	2	0
A02C55B94D61N501	1	0
A02C56B90D67N501	1	0
A02C57B85D96N502	1	0
A02C58B40D16N502	1	0
A02C58B86D08N502	1	0
A02C60B17D43N502	1	0
A02C62B16D44N502	1	0
A02C62B27D91N501	1	0
A02C62B35D07N501	1	0
A02C62B54D57N502	1	0
A02C62B96D62P999	1	0
A02C63B72D52N502	1	0
A02C63B80D81N502	1	0
A02C64B32D29N502	1	0
A02C64B82D63N501	0	1
A02C65B07D34N502	1	0
A02C65B13D69N502	1	0
A02C65B77D52N502	1	0
A02C65B84D58N502	1	0
A02C66B84D67N502	1	0
A02C67B10D82N502	1	0
A02C67B18D55N502	1	0
A02C67B29D64N502	1	0
A02C67B39D43N502	1	0
A02C68B46D30N501	1	0
A02C68B58D10N502	1	0
A02C68B70D47N502	1	0
A02C68B95D88N501	1	0
A02C69B14D94N502	1	0
A02C69B73D51N501	0	1
A02C70B31D54N501	1	0
A02C70B31D94N502	1	0
A02C70B53D86N501	1	0
A02C70B66D01N502	0	1
A02C70B71D79N502	0	1
A02C70B83D40N502	1	0
A02C71B23D77N502	1	0
A02C71B31D56N502	1	0
A02C71B94D48N502	0	1
A02C73B05D60N502	0	1
A02C73B19D74N502	1	0
A02C73B57D61N502	1	0
A02C74B33D78N502	1	0
A02C74B46D64N502	0	1
A02C74B96D20N502	1	0
A02C74B96D67N501	1	0
A02C76B27D48N501	1	0
A02C76B51D77N501	1	0
A02C76B52D57N501	1	0
A02C78B07D52N502	1	0
A02C78B10D21N502	0	1
A02C78B41D50N501	1	0
A02C78B51D24N502	1	0
A02C79B21D81N502	1	0
A02C79B50D27N502	1	0
A02C79B70D22N502	1	0
A02C80B90D96N502	1	0
A02C81B82D83N501	1	0
A02C82B08D26N502	0	1
A02C82B40D73N502	1	0
A02C83B42D64N501	1	0
A02C83B64D46N502	1	0
A02C83B96D17N501	1	0
A02C84B57D53N502	0	1
A02C85B05D49N501	1	0
A02C85B76D61N501	1	0
A02C86B95D91N501	1	0
A02C87B41D88N502	1	0
A02C87B78D11N502	1	0
A02C87B80D49N502	1	0
A02C88B12D48N502	1	0
A02C89B05D39N502	2	0
A02C89B17D07N502	1	0
A02C89B37D56N501	1	0
A02C89B66D60N502	1	0
A02C90B53D06N501	1	0
A02C90B55D36N502	1	0
A02C90B59D14N502	1	0
A02C91B20D74N501	1	0
A02C92B02D90N501	1	0
A02C92B42D31N502	1	0
A02C92B52D84N502	1	0
A02C92B61D96N502	1	0
A02C92B83D77N501	1	0
A02C92B90D92N501	1	0
A02C93B48D51N502	1	0
A02C93B65D33N502	1	0
A02C94B49D41N502	1	0
A02C94B57D53N502	1	0
A02C95B93D38N501	1	0
A03C01B36D05N502	1	0
A03C01B70D53N502	1	0
A03C02B05D29N502	1	0
A03C02B40D82N502	0	1
A03C02B92D71N501	1	0
A03C03B38D59N502	0	1
A03C03B43D58N501	1	0
A03C03B55D15N502	1	0
A03C04B53D10N502	1	0
A03C05B06D69N501	1	0
A03C05B16D11N501	0	1
A03C05B90D29N502	1	0
A03C06B05D65N501	1	0
A03C06B54D33N501	1	0
A03C06B80D71N501	1	0
A03C06B85D92N501	1	0
A03C07B10D35N501	1	0
A03C07B27D35N502	0	1
A03C09B59D15N501	1	0
A03C09B88D96N501	1	0
A03C10B06D34N502	1	0
A03C10B24D86N502	1	0
A03C10B80D80N502	1	0
A03C11B06D05N502	1	0
A03C11B46D19N501	1	0
A03C11B81D38N502	1	0
A03C11B91D36N501	1	0
